question,product,price,features,ratings,discount,Timestamp
hi,laptop,34,hibhb,3.3,34%,2022-22
can you tell me latest laptops,iPhone 13,$799,"6.1-inch display, A15 Bionic chip, 12MP camera",4.7,10%,2025-01-27 15:07:08.855689
can you explain latest laptops like MacBook Pro,iPhone 13,$799,"6.1-inch display, A15 Bionic chip, 12MP camera",4.7,10%,2025-01-27 15:08:03.234048
can you tell me the latest laptops,iPhone 13,$799,"6.1-inch display, A15 Bionic chip, 12MP camera",4.7,10%,2025-01-27 15:26:42.704610
what is the price of laptop,iPhone 13,$799,"6.1-inch display, A15 Bionic chip, 12MP camera",4.7,10%,2025-01-27 15:44:40.889231
what are the best laptops,"""MacBook Pro""",$1999,"""16GB RAM, M1 chip""",4.9,5,2025-01-27 15:44:53.885422
Can you provide latest model of iPhone price,iPhone 13,$799,"6.1-inch display, A15 Bionic chip, 12MP camera",4.7,10%,2025-01-27 15:51:20.712082
what is the what is the price of iPhone,iPhone 13,$799,"6.1-inch display, A15 Bionic chip, 12MP camera",4.7,10%,2025-01-27 16:00:17.997365
can you tell me the best laptops,"""MacBook Pro""",$1999,"""16GB RAM, M1 chip""",4.9,5,2025-01-27 16:01:18.945020
can you recommend some laptops,"""MacBook Pro""",$1999,"""16GB RAM, M1 chip""",4.9,5,2025-01-27 16:06:18.446090
what is the trending laptop,"""MacBook Pro""",$1999,"""16GB RAM, M1 chip""",4.9,5,2025-01-27 16:06:59.928084
can you recommend some laptops,"""MacBook Pro""",$1999,"""16GB RAM, M1 chip""",4.9,5,2025-01-27 16:08:45.182468
can you tell me trending laptop price,hp,60000,long life 5processor,4.7,33%,2025-01-27 16:13:11.459546
can you give latest model of laptop,Samsung Galaxy S22,$999,"6.1-inch Dynamic AMOLED display, Snapdragon 8 Gen 1, 50MP camera",4.8,15%,2025-01-27 16:20:59.605601
what are the Samsung Galaxy features,Samsung Galaxy S22,$999,"6.1-inch Dynamic AMOLED display, Snapdragon 8 Gen 1, 50MP camera",4.8,15%,2025-01-27 16:21:52.151017
can you explain latest dining table setting,399.99,"4-person set, Wooden design, Elegant finish",4.8,25%,,2025-01-27 17:02:21.918854
what are the floor lamp,39.99,"Adjustable height, Sleek design, LED bulb",4.4,20%,10%,2025-01-27 17:02:50.314247
can you explain TV stand price,229.99,"Wooden, Spacious, Elegant finish",4.7,15%,10%,2025-01-27 17:03:18.802998
can you tell me the some furnitures,399.99,"4-person set, Wooden design, Elegant finish",4.8,25%,,2025-01-27 17:09:10.709046
can you tell me the some furnitures,Accent Chair,129.99,"Upholstered fabric, Modern design, Comfortable",4.5,20%,2025-01-27 17:09:40.883022
can you tell me the some furnitures,Accent Chair,129.99,"Upholstered fabric, Modern design, Comfortable",4.5,20%,2025-01-27 18:39:27.007971
Amma bro,Accent Rug,49.99,"Soft fabric, Modern design, Various colors",4.5,10%,2025-01-27 18:40:56.311897
kar liya,Accent Rug,49.99,"Soft fabric, Modern design, Various colors",4.5,10%,2025-01-27 18:41:03.525754
I like to start,iPhone 13,$799,"6.1-inch display, A15 Bionic chip, 12MP camera",4.7,10%,2025-01-27 18:42:02.641299
can you tell me some laptop,Lenovo,46000,max power higher quality 512GB,4.4,27%,2025-01-27 18:42:21.158527
can you tell me some mobile phones,iPhone 13,$799,"6.1-inch display, A15 Bionic chip, 12MP camera",4.7,10%,2025-01-27 18:42:37.742306
Samsung Galaxy,iPhone 13,$799,"6.1-inch display, A15 Bionic chip, 12MP camera",4.7,10%,2025-01-27 18:42:46.580357
harder Samrat,Accent Rug,49.99,"Soft fabric, Modern design, Various colors",4.5,10%,2025-01-27 18:43:10.454555
can you give some games,Entryway Console Table,129.99,"Slim design, Wooden, Perfect for hallways",4.6,15%,2025-01-27 18:43:29.575443
Tamil,iPhone 13,$799,"6.1-inch display, A15 Bionic chip, 12MP camera",4.7,10%,2025-01-27 18:43:44.271547
